Id,Category
0,0
1,10
2,0
3,9
4,5
5,3
6,4
7,10
8,3
9,2
10,4
11,0
12,3
13,10
14,0
15,0
16,9
17,4
18,5
19,3
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,4
28,5
29,1
30,5
31,9
32,5
33,2
34,5
35,2
36,5
37,10
38,10
39,2
40,4
41,1
42,0
43,3
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,3
54,4
55,8
56,7
57,9
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,1
66,1
67,9
68,4
69,10
70,5
71,5
72,5
73,5
74,5
75,6
76,4
77,1
78,5
79,9
80,0
81,3
82,9
83,8
84,8
85,4
86,4
87,4
88,10
89,5
90,5
91,5
92,4
93,8
94,0
95,6
96,2
97,2
98,4
99,10
100,4
101,1
102,8
103,5
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,6
118,9
119,3
120,8
121,5
122,3
123,5
124,4
125,8
126,5
127,8
128,10
129,9
130,5
131,2
132,10
133,3
134,2
135,0
136,1
137,10
138,3
139,1
140,2
141,5
142,2
143,5
144,1
145,4
146,9
147,5
148,8
149,5
150,5
151,1
152,4
153,0
154,10
155,1
156,2
157,9
158,8
159,2
160,5
161,2
162,5
163,5
164,8
165,8
166,5
167,8
168,3
169,9
170,5
171,2
172,4
173,4
174,9
175,2
176,2
177,10
178,8
179,4
180,9
181,8
182,9
183,5
184,10
185,9
186,10
187,5
188,2
189,4
190,9
191,3
192,1
193,4
194,4
195,5
196,8
197,9
198,4
199,4
200,9
201,2
202,5
203,7
204,4
205,0
206,0
207,4
208,10
209,4
210,3
211,5
212,10
213,2
214,1
215,2
216,10
217,1
218,6
219,5
220,0
221,2
222,2
223,6
224,5
225,5
226,1
227,9
228,3
229,3
230,3
231,2
232,6
233,5
234,3
235,2
236,4
237,10
238,4
239,3
240,5
241,3
242,8
243,4
244,2
245,5
246,5
247,7
248,10
249,5
250,9
251,3
252,5
253,0
254,5
255,9
256,4
257,9
258,3
259,4
260,1
261,8
262,8
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,9
271,8
272,8
273,5
274,5
275,1
276,9
277,5
278,2
279,9
280,9
281,9
282,9
283,0
284,10
285,7
286,2
287,4
288,3
289,10
290,9
291,4
292,2
293,10
294,5
295,2
296,7
297,5
298,8
299,5
300,2
301,9
302,8
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,9
311,0
312,1
313,8
314,8
315,5
316,7
317,1
318,5
319,9
320,1
321,2
322,5
323,0
324,4
325,1
326,5
327,6
328,10
329,5
330,5
331,0
332,10
333,9
334,0
335,2
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,1
344,0
345,4
346,10
347,6
348,4
349,9
350,4
351,10
352,6
353,2
354,4
355,2
356,1
357,10
358,10
359,4
360,4
361,5
362,10
363,5
364,1
365,5
366,4
367,4
368,10
369,4
370,9
371,4
372,5
373,4
374,1
375,3
376,9
377,9
378,8
379,5
380,10
381,6
382,9
383,9
384,10
385,0
386,3
387,10
388,10
389,10
390,3
391,6
392,10
393,8
394,9
395,3
396,8
397,8
398,8
399,9
400,9
401,4
402,1
403,9
404,0
405,3
406,5
407,5
408,5
409,4
410,5
411,7
412,0
413,7
414,3
415,7
416,5
417,4
418,2
419,8
420,5
421,2
422,5
423,10
424,3
425,8
426,0
427,9
428,9
429,9
430,5
431,2
432,4
433,8
434,3
435,2
436,10
437,10
438,1
439,2
440,10
441,4
442,1
443,3
444,5
445,3
446,5
447,10
448,3
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,4
457,4
458,8
459,10
460,10
461,9
462,10
463,4
464,4
465,9
466,6
467,7
468,9
469,1
470,5
471,4
472,8
473,8
474,9
475,3
476,6
477,2
478,2
479,6
480,5
481,4
482,5
483,1
484,10
485,5
486,1
487,9
488,0
489,9
490,3
491,3
492,7
493,1
494,5
495,5
496,8
497,1
498,1
499,10
500,2
501,1
502,5
503,9
504,4
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,10
514,0
515,2
516,9
517,9
518,5
519,3
520,1
521,3
522,7
523,9
524,2
525,2
526,5
527,9
528,6
529,0
530,4
531,3
532,4
533,3
534,7
535,10
536,2
537,5
538,8
539,5
540,2
541,1
542,1
543,0
544,9
545,8
546,0
547,5
548,3
549,8
550,2
551,5
552,2
553,2
554,4
555,2
556,1
557,5
558,7
559,5
560,0
561,8
562,5
563,8
564,0
565,4
566,5
567,1
568,8
569,3
570,5
571,5
572,2
573,5
574,8
575,4
576,10
577,4
578,3
579,1
580,5
581,5
582,5
583,9
584,0
585,6
586,8
587,2
588,0
589,5
590,4
591,3
592,4
593,5
594,2
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,0
603,6
604,3
605,9
606,9
607,5
608,5
609,3
610,5
611,4
612,5
613,3
614,5
615,10
616,3
617,9
618,4
619,9
620,7
621,4
622,4
623,10
624,4
625,0
626,3
627,0
628,2
629,6
630,3
631,0
632,2
633,2
634,9
635,2
636,9
637,1
638,10
639,3
640,10
641,0
642,9
643,10
644,4
645,0
646,7
647,2
648,5
649,3
650,0
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,8
659,3
660,2
661,6
662,3
663,9
664,9
665,8
666,4
667,4
668,4
669,0
670,0
671,9
672,1
673,4
674,4
675,5
676,3
677,5
678,5
679,2
680,2
681,3
682,5
683,5
684,1
685,0
686,10
687,4
688,10
689,6
690,2
691,9
692,3
693,5
694,4
695,8
696,6
697,8
698,4
699,9
700,9
701,3
702,10
703,0
704,4
705,10
706,8
707,0
708,5
709,4
710,3
711,8
712,6
713,9
714,6
715,4
716,3
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,1
728,5
729,3
730,10
731,7
732,2
733,5
734,4
735,1
736,3
737,8
738,3
739,7
740,3
741,3
742,3
743,3
744,6
745,5
746,2
747,2
748,6
749,8
750,5
751,2
752,4
753,5
754,8
755,3
756,8
757,10
758,9
759,2
760,2
761,4
762,3
763,6
764,8
765,3
766,5
767,9
768,5
769,10
770,8
771,4
772,5
773,5
774,5
775,1
776,1
777,5
778,10
779,4
780,4
781,8
782,5
783,9
784,3
785,8
786,9
787,0
788,5
789,10
790,3
791,8
792,7
793,9
794,7
795,2
796,9
797,2
798,0
799,2
800,4
801,2
802,4
803,8
804,4
805,3
806,10
807,8
808,10
809,4
810,4
811,9
812,0
813,5
814,4
815,4
816,5
817,5
818,3
819,2
820,8
821,8
822,9
823,10
824,3
825,3
826,9
827,4
828,9
829,8
830,0
831,3
832,8
833,0
834,2
835,5
836,5
837,3
838,8
839,3
840,5
841,4
842,0
843,0
844,8
845,5
846,3
847,10
848,8
849,3
850,4
851,9
852,1
853,3
854,10
855,10
856,10
857,10
858,0
859,2
860,1
861,1
862,4
863,3
864,8
865,4
866,2
867,10
868,8
869,1
870,2
871,0
872,5
873,3
874,9
875,3
876,8
877,1
878,5
879,10
880,5
881,5
882,9
883,6
884,5
885,10
886,3
887,4
888,5
889,4
890,6
891,8
892,5
893,3
894,8
895,5
896,3
897,5
898,4
899,5
900,6
901,10
902,8
903,9
904,5
905,1
906,7
907,5
908,9
909,3
910,10
911,0
912,4
913,2
914,4
915,3
916,4
917,3
918,9
919,5
920,3
921,4
922,8
923,9
924,9
925,5
926,5
927,4
928,4
929,9
930,9
931,3
932,1
933,4
934,9
935,5
936,1
937,9
938,9
939,3
940,9
941,4
942,3
943,10
944,1
945,10
946,0
947,8
948,10
949,8
950,4
951,1
952,9
953,9
954,1
955,5
956,6
957,6
958,1
959,9
960,2
961,1
962,5
963,10
964,5
965,4
966,5
967,5
968,2
969,4
970,10
971,0
972,5
973,5
974,4
975,5
976,4
977,5
978,1
979,2
980,3
981,6
982,5
983,9
984,4
985,1
986,10
987,5
988,10
989,0
990,5
991,6
992,8
993,6
994,1
995,8
996,3
997,5
998,9
999,9
1000,9
1001,5
1002,10
1003,7
1004,3
1005,6
1006,3
1007,5
1008,1
1009,5
1010,5
1011,1
1012,6
1013,5
1014,4
1015,10
1016,4
1017,5
1018,2
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,5
1026,10
1027,5
1028,8
1029,5
1030,10
1031,4
1032,6
1033,3
1034,8
1035,10
1036,10
1037,0
1038,5
1039,8
1040,9
1041,1
1042,9
1043,3
1044,3
1045,9
1046,1
1047,5
1048,4
1049,9
1050,1
1051,3
1052,9
1053,4
1054,8
1055,9
1056,4
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,3
1064,9
1065,5
1066,8
1067,10
1068,9
1069,9
1070,4
1071,6
1072,3
1073,9
1074,10
1075,4
1076,0
1077,5
1078,2
1079,10
1080,2
1081,5
1082,6
1083,4
1084,4
1085,3
1086,1
1087,4
1088,1
1089,0
1090,1
1091,5
1092,9
1093,5
1094,5
1095,1
1096,10
1097,2
1098,1
1099,6
1100,1
1101,1
1102,5
1103,4
1104,6
1105,9
1106,9
1107,10
1108,8
1109,9
1110,2
1111,9
1112,2
1113,5
1114,3
1115,3
1116,9
1117,5
1118,5
1119,5
1120,7
1121,2
1122,7
1123,4
1124,1
1125,9
1126,6
1127,3
1128,8
1129,4
1130,4
1131,10
1132,8
1133,6
1134,3
1135,8
1136,10
1137,8
1138,1
1139,0
1140,10
1141,3
1142,4
1143,5
1144,5
1145,10
1146,0
1147,10
1148,3
1149,10
1150,3
1151,4
1152,1
1153,0
1154,2
1155,9
1156,5
1157,5
1158,2
1159,1
1160,9
1161,5
1162,1
1163,9
1164,0
1165,2
1166,2
1167,5
1168,0
1169,5
1170,4
1171,5
1172,7
1173,2
1174,8
1175,3
1176,10
1177,3
1178,4
1179,4
1180,0
1181,6
1182,5
1183,5
1184,2
1185,6
1186,3
1187,0
1188,5
1189,9
1190,7
1191,5
1192,8
1193,5
1194,10
1195,3
1196,3
1197,5
1198,5
1199,9
1200,5
1201,4
1202,1
1203,3
1204,5
1205,5
1206,10
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,5
1215,8
1216,8
1217,10
1218,0
1219,9
1220,10
1221,10
1222,4
1223,1
1224,4
1225,6
1226,10
1227,2
1228,1
1229,4
1230,4
1231,4
1232,10
1233,5
1234,4
1235,1
1236,4
1237,4
1238,9
1239,9
1240,2
1241,5
1242,8
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,5
1254,5
1255,8
1256,4
1257,10
1258,5
1259,9
1260,0
1261,2
1262,4
1263,4
1264,4
1265,1
1266,5
1267,10
1268,10
1269,8
1270,2
1271,2
1272,6
1273,4
1274,1
1275,2
1276,4
1277,10
1278,10
1279,2
1280,2
1281,2
1282,9
1283,5
1284,7
1285,4
1286,1
1287,2
1288,10
1289,8
1290,8
1291,8
1292,5
1293,5
1294,4
1295,5
1296,2
1297,5
1298,9
1299,1
1300,9
1301,1
1302,5
1303,1
1304,8
1305,1
1306,5
1307,9
1308,2
1309,8
1310,3
1311,3
1312,3
1313,1
1314,2
1315,3
1316,0
1317,10
1318,5
1319,10
1320,2
1321,6
1322,3
1323,9
1324,4
1325,8
1326,5
1327,4
1328,4
1329,1
1330,10
1331,9
1332,3
1333,2
1334,5
1335,4
1336,1
1337,1
1338,4
1339,2
1340,2
1341,1
1342,4
1343,8
1344,9
1345,7
1346,4
1347,7
1348,2
1349,4
1350,3
1351,5
1352,1
1353,3
1354,8
1355,6
1356,5
1357,6
1358,2
1359,9
1360,0
1361,5
1362,5
1363,5
1364,10
1365,10
1366,6
1367,8
1368,5
1369,9
1370,8
1371,9
1372,4
1373,2
1374,9
1375,4
1376,10
1377,8
1378,1
1379,8
1380,4
1381,3
1382,8
1383,3
1384,5
1385,4
1386,2
1387,8
1388,9
1389,1
1390,10
1391,5
1392,2
1393,5
1394,2
1395,2
1396,10
1397,5
1398,8
1399,1
1400,8
1401,9
1402,9
1403,8
1404,9
1405,4
1406,10
1407,4
1408,5
1409,2
1410,3
1411,1
1412,0
1413,8
1414,8
1415,2
1416,10
1417,0
1418,5
1419,4
1420,10
1421,7
1422,1
1423,5
1424,10
1425,2
1426,0
1427,3
1428,4
1429,9
1430,9
1431,7
1432,8
1433,5
1434,8
1435,6
1436,5
1437,2
1438,5
1439,5
1440,9
1441,3
1442,2
1443,8
1444,10
1445,8
1446,2
1447,10
1448,0
1449,0
1450,3
1451,4
1452,4
1453,9
1454,3
1455,0
1456,9
1457,3
1458,1
1459,4
1460,2
1461,8
1462,8
1463,5
1464,9
1465,5
1466,9
1467,9
1468,2
1469,9
1470,8
1471,1
1472,5
1473,2
1474,0
1475,4
1476,9
1477,4
1478,4
1479,6
1480,2
1481,5
1482,9
1483,9
1484,0
1485,2
1486,4
1487,3
1488,0
1489,2
1490,3
1491,3
1492,8
1493,1
1494,10
1495,9
1496,9
1497,1
1498,0
1499,10
1500,4
1501,6
1502,8
1503,9
1504,10
1505,2
1506,9
1507,7
1508,8
1509,4
1510,0
1511,10
1512,1
1513,3
1514,5
1515,9
1516,10
1517,5
1518,5
1519,2
1520,8
1521,2
1522,3
1523,5
1524,4
1525,5
1526,5
1527,1
1528,1
1529,4
1530,10
1531,6
1532,5
1533,4
1534,8
1535,2
1536,3
1537,2
1538,1
1539,9
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,9
1547,2
1548,8
1549,4
1550,2
1551,8
1552,6
1553,1
1554,5
1555,4
1556,4
1557,5
1558,10
1559,9
1560,3
1561,8
1562,3
1563,9
1564,7
1565,6
1566,9
1567,1
1568,5
1569,5
1570,2
1571,5
1572,10
1573,2
1574,10
1575,4
1576,9
1577,9
1578,1
1579,7
1580,9
1581,6
1582,5
1583,4
1584,8
1585,4
1586,4
1587,5
1588,9
1589,0
1590,5
1591,10
1592,5
1593,10
1594,8
1595,4
1596,5
1597,6
1598,3
1599,10
1600,9
1601,4
1602,4
1603,1
1604,8
1605,8
1606,3
1607,9
1608,3
1609,0
1610,9
1611,0
1612,9
1613,1
1614,6
1615,4
1616,3
1617,2
1618,3
1619,4
1620,4
1621,2
1622,2
1623,3
1624,2
1625,2
1626,4
1627,2
1628,10
1629,1
1630,5
1631,8
1632,5
1633,3
1634,3
1635,3
1636,3
1637,3
1638,5
1639,1
1640,9
1641,4
1642,5
1643,0
1644,4
1645,2
1646,9
1647,5
1648,1
1649,8
1650,0
1651,5
1652,3
1653,3
1654,9
1655,3
1656,1
1657,3
1658,5
1659,4
1660,8
1661,2
1662,1
1663,5
1664,5
1665,5
1666,10
1667,0
1668,1
1669,4
1670,9
1671,9
1672,7
1673,8
1674,9
1675,10
1676,3
1677,4
1678,5
1679,3
1680,10
1681,5
1682,4
1683,3
1684,5
1685,5
1686,8
1687,3
1688,8
1689,10
1690,5
1691,2
1692,5
1693,9
1694,5
1695,1
1696,5
1697,5
1698,9
1699,5
1700,4
1701,9
1702,5
1703,0
1704,8
1705,8
1706,3
1707,10
1708,3
1709,6
1710,3
1711,10
1712,5
1713,4
1714,4
1715,2
1716,3
1717,5
1718,9
1719,5
1720,3
1721,0
1722,4
1723,3
1724,2
1725,9
1726,0
1727,10
1728,1
1729,5
1730,1
1731,8
1732,9
1733,5
1734,0
1735,5
1736,0
1737,6
1738,3
1739,8
1740,5
1741,0
1742,9
1743,3
1744,3
1745,0
1746,8
1747,4
1748,9
1749,9
1750,3
1751,4
1752,3
1753,2
1754,3
1755,5
1756,3
1757,6
1758,5
1759,9
1760,3
1761,4
1762,9
1763,6
1764,4
1765,9
1766,3
1767,5
1768,5
1769,5
1770,5
1771,10
1772,10
1773,5
1774,3
1775,5
1776,10
1777,9
1778,1
1779,1
1780,4
1781,8
1782,2
1783,2
1784,9
1785,6
1786,4
1787,1
1788,4
1789,9
1790,8
1791,0
1792,4
1793,3
1794,4
1795,7
1796,5
1797,8
1798,2
1799,1
1800,1
1801,4
1802,5
1803,8
1804,6
1805,9
1806,4
1807,5
1808,9
1809,4
1810,4
1811,4
1812,4
1813,2
1814,10
1815,2
1816,5
1817,4
1818,1
1819,3
1820,9
1821,10
1822,8
1823,0
1824,9
1825,2
1826,1
1827,9
1828,9
1829,5
1830,0
1831,2
1832,1
1833,10
1834,3
1835,1
1836,3
1837,9
1838,2
1839,2
1840,4
1841,0
1842,0
1843,5
1844,5
1845,5
1846,5
1847,9
1848,3
1849,8
1850,5
1851,5
1852,8
1853,4
1854,7
1855,1
1856,6
1857,4
1858,1
1859,6
1860,10
1861,2
1862,0
1863,5
1864,8
1865,0
1866,5
1867,2
1868,1
1869,0
1870,1
1871,5
1872,2
1873,10
1874,4
1875,10
1876,8
1877,3
1878,4
1879,6
1880,3
1881,8
1882,5
1883,2
1884,4
1885,2
1886,9
1887,0
1888,5
1889,3
1890,4
1891,2
1892,9
1893,7
1894,3
1895,8
1896,3
1897,5
1898,0
1899,5
1900,3
1901,9
1902,1
1903,6
1904,8
1905,1
1906,3
1907,5
1908,1
1909,4
1910,10
1911,3
1912,3
1913,3
1914,9
1915,9
1916,5
1917,5
1918,8
1919,8
1920,8
1921,8
1922,10
1923,3
1924,4
1925,5
